,Close,Train_Return,Date
2020-01-10,3242.7002,-0.04965067,2020-01-10
2020-01-13,3251.0076,0.25619268,2020-01-13
2020-01-14,3270.9224,0.61256886,2020-01-14
2020-01-15,3263.1145,-0.23870468,2020-01-15
2020-01-16,3279.2708,0.49511194,2020-01-16
2020-01-17,3282.4229,0.09611845,2020-01-17
2020-01-21,3288.5713,0.18731356,2020-01-21
2020-01-22,3303.1133,0.44219494,2020-01-22
2020-01-23,3311.7292,0.26084185,2020-01-23
2020-01-24,3306.837,-0.14773011,2020-01-24
2020-01-27,3301.3425,-0.16615391,2020-01-27
2020-01-28,3295.9385,-0.16369224,2020-01-28
2020-01-29,3282.4392,-0.40957332,2020-01-29
2020-01-30,3246.4048,-1.0977924,2020-01-30
2020-01-31,3270.647,0.7467389,2020-01-31
2020-02-03,3256.5525,-0.43094158,2020-02-03
2020-02-04,3269.6074,0.400877,2020-02-04
2020-02-05,3240.3904,-0.89359283,2020-02-05
2020-02-06,3266.2083,0.7967472,2020-02-06
2020-02-07,3297.0996,0.94578266,2020-02-07
2020-02-10,3315.6272,0.56194067,2020-02-10
2020-02-11,3328.2559,0.3808856,2020-02-11
2020-02-12,3317.577,-0.32085776,2020-02-12
2020-02-13,3337.496,0.6004095,2020-02-13
2020-02-14,3339.3345,0.055086613,2020-02-14
2020-02-18,3354.8904,0.46583414,2020-02-18
2020-02-19,3349.093,-0.17280579,2020-02-19
2020-02-20,3356.6958,0.22701025,2020-02-20
2020-02-21,3347.1555,-0.2842188,2020-02-21
2020-02-24,3351.6213,0.13341904,2020-02-24
2020-02-25,3328.1143,-0.7013619,2020-02-25
2020-02-26,3293.681,-1.0346234,2020-02-26
2020-02-27,3204.0718,-2.7206361,2020-02-27
2020-02-28,3097.108,-3.3383727,2020-02-28
2020-03-02,3086.2715,-0.3498912,2020-03-02
2020-03-03,2974.3538,-3.6263108,2020-03-03
2020-03-04,2956.393,-0.60385466,2020-03-04
2020-03-05,3067.3608,3.7534833,2020-03-05
2020-03-06,2993.4368,-2.4100244,2020-03-06
2020-03-09,3098.8997,3.5231352,2020-03-09
2020-03-10,3008.7603,-2.9087543,2020-03-10
2020-03-11,2968.1782,-1.3487935,2020-03-11
2020-03-12,2787.9636,-6.0715556,2020-03-12
2020-03-13,2898.59,3.9680004,2020-03-13
2020-03-16,2763.291,-4.667753,2020-03-16
2020-03-17,2573.8289,-6.856394,2020-03-17
2020-03-18,2735.6797,6.288326,2020-03-18
2020-03-19,2537.3198,-7.2508454,2020-03-19
2020-03-20,2599.9707,2.46917,2020-03-20
2020-03-23,2540.4666,-2.2886455,2020-03-23
2020-03-24,2543.6665,0.12595654,2020-03-24
2020-03-25,2523.2563,-0.80239177,2020-03-25
2020-03-26,2537.4104,0.5609393,2020-03-26
2020-03-27,2557.4941,0.791502,2020-03-27
2020-03-30,2570.7798,0.5194783,2020-03-30
2020-03-31,2677.3103,4.1438937,2020-03-31
2020-04-01,2610.3428,-2.501297,2020-04-01
2020-04-02,2675.4185,2.492988,2020-04-02
2020-04-03,2640.5874,-1.3018906,2020-04-03
2020-04-06,2567.8098,-2.7561128,2020-04-06
2020-04-07,2599.1938,1.2222052,2020-04-07
2020-04-08,2577.7366,-0.82553625,2020-04-08
2020-04-09,2706.8225,5.00772,2020-04-09
2020-04-13,2706.123,-0.025838614,2020-04-13
2020-04-14,2786.216,2.9596925,2020-04-14
2020-04-15,2820.8074,1.2415171,2020-04-15
2020-04-16,2799.6729,-0.74923635,2020-04-16
2020-04-17,2870.45,2.5280476,2020-04-17
2020-04-20,2816.8735,-1.8664837,2020-04-20
2020-04-21,2834.567,0.62812567,2020-04-21
2020-04-22,2894.356,2.1092892,2020-04-22
2020-04-23,2849.2742,-1.5575767,2020-04-23
2020-04-24,2774.6355,-2.6195705,2020-04-24
2020-04-27,2830.995,2.0312428,2020-04-27
2020-04-28,2831.421,0.015044212,2020-04-28
2020-04-29,2865.7717,1.2132049,2020-04-29
2020-04-30,2898.2224,1.1323571,2020-04-30
2020-05-01,2888.1665,-0.34697056,2020-05-01
2020-05-04,2944.489,1.950109,2020-05-04
2020-05-05,2923.4758,-0.7136464,2020-05-05
2020-05-06,2859.6978,-2.1815836,2020-05-06
2020-05-07,2870.313,0.3712058,2020-05-07
2020-05-08,2890.1445,0.6909251,2020-05-08
2020-05-11,2875.2073,-0.5168319,2020-05-11
2020-05-12,2901.434,0.91216564,2020-05-12
2020-05-13,2937.4512,1.2413502,2020-05-13
2020-05-14,2937.2104,-0.008195639,2020-05-14
2020-05-15,2890.82,-1.5794039,2020-05-15
2020-05-18,2851.1045,-1.3738513,2020-05-18
2020-05-19,2877.9895,0.9429693,2020-05-19
2020-05-20,2888.6853,0.37164688,2020-05-20
2020-05-21,2955.3306,2.307117,2020-05-21
2020-05-22,2932.7686,-0.7634342,2020-05-22
2020-05-26,2968.6968,1.2250662,2020-05-26
2020-05-27,2951.518,-0.5786598,2020-05-27
2020-05-28,2956.9023,0.18242598,2020-05-28
2020-05-29,2984.3643,0.92873573,2020-05-29
2020-06-01,3019.2139,1.1677384,2020-06-01
