,Close,Train_Return,Date
2019-10-07,7130.517,0.968349,2019-10-07
2019-10-08,7175.358,0.62885284,2019-10-08
2019-10-09,7127.368,-0.6688118,2019-10-09
2019-10-10,7144.8677,0.24552345,2019-10-10
2019-10-11,7164.8228,0.27929544,2019-10-11
2019-10-14,7219.163,0.75843334,2019-10-14
2019-10-15,7194.938,-0.3355682,2019-10-15
2019-10-16,7190.047,-0.0679791,2019-10-16
2019-10-17,7150.9136,-0.5442679,2019-10-17
2019-10-18,7160.8096,0.13839006,2019-10-18
2019-10-21,7133.06,-0.3875196,2019-10-21
2019-10-22,7142.754,0.13589859,2019-10-22
2019-10-23,7187.6426,0.62844753,2019-10-23
2019-10-24,7232.9995,0.6310463,2019-10-24
2019-10-25,7292.107,0.8171916,2019-10-25
2019-10-28,7295.303,0.043833256,2019-10-28
2019-10-29,7299.661,0.059735775,2019-10-29
2019-10-30,7280.09,-0.2681136,2019-10-30
2019-10-31,7297.4424,0.23835897,2019-10-31
2019-11-01,7231.309,-0.90625286,2019-11-01
2019-11-04,7269.237,0.52449703,2019-11-04
2019-11-05,7328.263,0.812006,2019-11-05
2019-11-06,7349.159,0.2851367,2019-11-06
2019-11-07,7357.127,0.10842085,2019-11-07
2019-11-08,7365.3076,0.111198425,2019-11-08
2019-11-11,7329.8936,-0.4808247,2019-11-11
2019-11-12,7300.2407,-0.40454865,2019-11-12
2019-11-13,7326.686,0.3622532,2019-11-13
2019-11-14,7319.7114,-0.09519458,2019-11-14
2019-11-15,7270.4146,-0.67347884,2019-11-15
2019-11-18,7273.5264,0.042796135,2019-11-18
2019-11-19,7278.795,0.072431564,2019-11-19
2019-11-20,7292.2007,0.18417835,2019-11-20
2019-11-21,7242.8335,-0.6769836,2019-11-21
2019-11-22,7217.06,-0.3558457,2019-11-22
2019-11-25,7288.201,0.9857297,2019-11-25
2019-11-26,7351.2925,0.8656621,2019-11-26
2019-11-27,7363.3555,0.16409159,2019-11-27
2019-11-28,7383.4814,0.27332306,2019-11-28
2019-11-29,7376.594,-0.09328127,2019-11-29
2019-12-02,7320.28,-0.76342225,2019-12-02
2019-12-03,7263.8096,-0.7714212,2019-12-03
2019-12-04,7146.8613,-1.6100109,2019-12-04
2019-12-05,7165.8555,0.2657652,2019-12-05
2019-12-06,7121.685,-0.61640143,2019-12-06
2019-12-09,7208.689,1.2216806,2019-12-09
2019-12-10,7213.0083,0.05991459,2019-12-10
2019-12-11,7193.596,-0.2691269,2019-12-11
2019-12-12,7194.2573,0.009191036,2019-12-12
2019-12-13,7243.4043,0.68314075,2019-12-13
2019-12-16,7313.055,0.9615779,2019-12-16
2019-12-17,7440.805,1.746881,2019-12-17
2019-12-18,7467.213,0.3549099,2019-12-18
2019-12-19,7477.6333,0.1395464,2019-12-19
2019-12-20,7502.1436,0.32777786,2019-12-20
2019-12-23,7512.8374,0.14253855,2019-12-23
2019-12-24,7540.924,0.37384033,2019-12-24
